episode,time,theta1,theta2,omega1,omega2,kinetic_energy,potential_energy
0,0.002,0.06074576821501879,-0.09076018397449778,-0.03508340529330849,0.5082439355591755,0.1297713716798269,0.0
0,0.004,0.06068264984931614,-0.08976260989070133,-0.028043312338319228,0.4893597630824912,0.12012970254552822,0.0
0,0.006,0.06063356228322581,-0.08880262865437892,-0.02105224435778979,0.4706499965973111,0.11097730814477452,0.0
0,0.008,0.0605984096315348,-0.08787989799107199,-0.01410803818598225,0.45210810417650193,0.10230038730176393,0.0
0,0.01,0.06057710032595019,-0.08699408865667627,-0.007208540062294469,0.43372758734709077,0.09408579153787898,0.0
0,0.012,0.060569547096337675,-0.08614488437083957,-0.0003516055769445456,0.4155019807687932,0.08632100982463617,0.0
0,0.014,0.060575666952101134,-0.085331981751093,0.006464900415458856,0.39742485182297926,0.07899415389194941,0.0
0,0.016,0.060595381163765574,-0.08455509024788894,0.01324310391245196,0.3794898001177909,0.07209394409733844,0.0
0,0.018000000000000002,0.06062861524482157,-0.08381393208070828,0.019985121908438763,0.36169045691486806,0.06560969586049059,0.0
0,0.020000000000000004,0.06067529893388584,-0.08310824217538798,0.02669306256576929,0.3440204844828959,0.05953130666649325,0.0
0,0.022000000000000006,0.06073536617722886,-0.08243776810281073,0.03336902541042383,0.3264735753829492,0.05384924364008386,0.0
0,0.024000000000000007,0.06080875511171707,-0.08180227001908807,0.04001510155063222,0.3090434516903884,0.04855453169240841,0.0
0,0.02600000000000001,0.06089540804821389,-0.08120152060735941,0.04663337391683239,0.2917238641578471,0.043638742241026575,0.0
0,0.02800000000000001,0.06099527145548072,-0.08063530502132024,0.05322591752144336,0.2745085913236501,0.03909398250324711,0.0
0,0.030000000000000013,0.061108295944616114,-0.08010342083058478,0.059794799736995204,0.2573914385698084,0.03491288536231141,0.0
0,0.032000000000000015,0.061234436254068374,-0.07960567796797959,0.06634208059122228,0.24036623713355945,0.031088599805459385,0.0
0,0.034000000000000016,0.06137365123525418,-0.07914189867885742,0.07286981307778574,0.22342684307624738,0.027614781932504755,0.0
0,0.03600000000000002,0.06152590383881321,-0.078711917472513,0.07938004348134792,0.20656713621318226,0.02448558653320804,0.0
0,0.03800000000000002,0.06169116110152631,-0.07831558107577503,0.08587481171577341,0.1897810190079659,0.021695659231460725,0.0
0,0.04000000000000002,0.061869394133922076,-0.07795274838884252,0.09235615167428134,0.17306241543463352,0.019240129194076267,0.0
0,0.04200000000000002,0.0620605781085949,-0.07762329044342599,0.09882609159041841,0.1564052698108321,0.01711460240181848,0.0
0,0.044000000000000025,0.06226469224925475,-0.07732709036324903,0.10528665440876496,0.13980354560513703,0.015315155480179168,0.0
0,0.04600000000000003,0.06248171982052729,-0.07706404332695835,0.11173985816432444,0.1232512242214996,0.013838330087340856,0.0
0,0.04800000000000003,0.06271164811852056,-0.07683405653348548,0.11818771636958282,0.10674230376371918,0.012681127856721527,0.0
0,0.05000000000000003,0.06295446846217269,-0.07663704916989714,0.12463223840825591,0.09027079778274286,0.011841005891492597,0.0
0,0.05200000000000003,0.06321017618539293,-0.0764729523817659,0.13107542993477173,0.0738307340095163,0.011315872808484598,0.0
0,0.054000000000000034,0.06347877063000668,-0.0763417092460874,0.13751929327856074,0.057416153076037355,0.011104085328942878,0.0
0,0.056000000000000036,0.06376025513951306,-0.07624327474676505,0.14396582785224885,0.04102110722720254,0.011204445413664499,0.0
0,0.05800000000000004,0.06405463705366213,-0.07617761575267819,0.15041703056286773,0.02463965902598345,0.011616197940133707,0.0
0,0.06000000000000004,0.06436192770385675,-0.07614471099834441,0.15687489622521336,0.008265880054426005,0.01233902891937281,0.0
0,0.06200000000000004,0.06468214240938261,-0.07614455106718207,0.16334141797649604,-0.008106150387069189,0.013373064250335083,0.0
0,0.06400000000000004,0.06501530047446816,-0.0761771383773739,0.16981858769143637,-0.024482346579753896,0.014718869009782627,0.0
0,0.06600000000000004,0.06536142518617445,-0.0762424871703279,0.17630839639696783,-0.040868617683412656,0.016377447275711644,0.0
0,0.06800000000000005,0.06572054381311336,-0.0763406235017269,0.18281283468571116,-0.05727086902771128,0.018350242482507207,0.0
0,0.07000000000000005,0.06609268760499072,-0.07647158523515327,0.1893338931273869,-0.07369500339560864,0.02063913830612577,0.0
0,0.07200000000000005,0.06647789179296963,-0.07663542203827041,0.19587356267733047,-0.09014692229641863,0.023246460077713322,0.0
0,0.07400000000000005,0.06687619559084716,-0.0768321953815382,0.2024338350812693,-0.1066325272260928,0.02617497672416698,0.0
0,0.07600000000000005,0.06728764219703613,-0.07706197853943396,0.2090167032755143,-0.12315772091226797,0.02942790323423424,0.0
0,0.07800000000000006,0.06771227879734204,-0.07732485659414637,0.2156241617817067,-0.13972840854159024,0.03300890364881459,0.0
0,0.08000000000000006,0.06815015656852326,-0.07762092644170414,0.2222582070952482,-0.1563504989667842,0.03692209457417832,0.0
0,0.08200000000000006,0.06860133068262106,-0.07795029680049642,0.22892083806652572,-0.17302990589088504,0.04117204921684452,0.0
0,0.08400000000000006,0.06906586031204412,-0.07831308822213662,0.23561405627402243,-0.1897725490259921,0.0457638019388604,0.0
0,0.08600000000000006,0.06954380863539039,-0.07870943310461606,0.2423398663883847,-0.20658435522383495,0.05070285333219389,0.0
0,0.08800000000000006,0.07003524284398722,-0.07913947570768823,0.24910027652648906,-0.22347125957536548,0.05599517581088685,0.0
0,0.09000000000000007,0.0705402341491288,-0.07960337217041882,0.25589729859452487,-0.24043920647650607,0.06164721971951367,0.0
0,0.09200000000000007,0.07105885778998798,-0.08010129053083107,0.2627329486190776,-0.2574941506570883,0.06766591995634508,0.0
0,0.09400000000000007,0.07159119304217736,-0.08063341074756945,0.2696092470651626,-0.2746420581699162,0.07405870310942576,0.0
0,0.09600000000000007,0.07213732322693246,-0.08119992472349918,0.27652821914012315,-0.2918889073367754,0.08083349510353233,0.0
