episode,time,sin_theta1,cos_theta1,sin_theta2,cos_theta2,omega1,omega2
0,0.002,0.060708415970241285,0.9981555431045726,-0.09063563046259232,0.9958841210154163,-0.03155918285130052,0.4987870418982007
0,0.004,0.060645413902756386,0.9981593729322805,-0.08964211733957488,0.9959740412274197,-0.028051482948225015,0.48938883002969646
0,0.006,0.06059641661552333,0.9981623486654653,-0.08868595978951632,0.9960596370379698,-0.021060054445324994,0.47067797490734975
0,0.008,0.06056132852471708,0.9981644781734729,-0.08776682739533943,0.9961410462424268,-0.014115489318925256,0.45213499942567736
0,0.01,0.06054005831907946,0.9981657684667024,-0.08688440204012195,0.9962184000921337,-0.007215633799299681,0.433753405058102
0,0.012,0.060532518942112014,0.9981662257111903,-0.08603837787856435,0.996291823479459,-0.0003583434622491666,0.41552672639580024
0,0.014,0.06053862757430778,0.9981658552422134,-0.08522846130688554,0.9963614351144171,0.006458516856973517,0.3974485307376483
0,0.016,0.06055830561548875,0.998164661576927,-0.08445437093142957,0.996427347693035,0.01323707318009859,0.37951241759619947
0,0.018,0.06059147866730928,0.9981626484260514,-0.08371583753625375,0.996489668057629,0.019979442530072333,0.36171201812525666
0,0.02,0.06063807651598154,0.998159818704621,-0.08301260404994684,0.996548497349149,0.02668773310182715,0.3440409944743692
0,0.022,0.0606980331152775,0.9981561745418082,-0.08234442551191394,0.9966039311517454,0.033364044457799835,0.3264930390749754
0,0.024,0.060771286569856336,0.9981517172898339,-0.08171106903834709,0.9966560596297052,0.040010467746251166,0.3090618738628237
0,0.026,0.060857779118962944,0.9981464475319779,-0.08111231378808695,0.9967049676569004,0.046629085940923076,0.2917412494419551
0,0.028,0.06095745712054097,0.9981403650896989,-0.08054795092856483,0.9967507349388861,0.05322197410057683,0.2745249441936721
0,0.03,0.06107027103579888,0.9981334690288739,-0.08001778360200447,0.996793436127778,0.05979119964689694,0.257406763335176
0,0.032,0.061196175414266814,0.9981257576651683,-0.0795216268920457,0.9968331409300366,0.06633882265949964,0.24038053793182712
0,0.034,0.061335128879376644,0.9981172285685436,-0.07905930779094289,0.9968699142072736,0.07286689618622333,0.2234401238666308
0,0.036,0.06148709411459591,0.9981078785669126,-0.07863066516747755,0.9969038160701964,0.07937746656805267,0.20657940077059678
0,0.038,0.06165203785014436,0.9980977037489488,-0.07823554973571388,0.9969349019657957,0.08587257377720015,0.1897922709176214
0,0.04,0.061829930850318286,0.9980866994660559,-0.07787382402471393,0.9969632227578747,0.09235425176714962,0.1730726580872748
0,0.042,0.06202074790144538,0.9980748603335049,-0.07754536234931894,0.9969888248010169,0.0988245288331715,0.15641450639837728
0,0.044,0.062224467800489645,0.9980621802307439,-0.07725005078209424,0.9970117500080748,0.10528542798307505,0.13981177911689713
0,0.046,0.06244107334432738,0.9980486523008827,-0.076987787126522,0.9970320359112647,0.11173896731644994,0.12325845744090103
0,0.048,0.06267055131970664,0.9980342689493603,-0.07675848089152136,0.9970497157169376,0.11818716041135247,0.10674853926530403
0,0.05,0.06291289249390629,0.9980190218417935,-0.07656205326736082,0.9970648183540957,0.12463201671810076,0.09027603792987904
0,0.052,0.06316809160610587,0.9980029019010128,-0.07639843710302245,0.9970773685167142,0.13107554195850213,0.07383498095242302
